positive_bert,negative_bert,neutral_bert
0.2768026292324066,0.06823921948671341,0.6549581289291382
0.22235271334648132,0.02994287945330143,0.7477043867111206
0.521519660949707,0.017439456656575203,0.4610408842563629
0.5324012041091919,0.07936190813779831,0.3882368803024292
0.9517791271209717,0.0038335761055350304,0.04438735172152519
0.07314156740903854,0.2529943585395813,0.6738640666007996
0.3548187017440796,0.022964226081967354,0.6222171187400818
0.3738255798816681,0.11429395526647568,0.5118804574012756
0.03415073826909065,0.6010123491287231,0.3648369014263153
0.377701997756958,0.09237472712993622,0.5299233198165894
0.018519194796681404,0.6125354170799255,0.3689453899860382
0.5756427645683289,0.014321789145469666,0.41003552079200745
0.377701997756958,0.09237472712993622,0.5299233198165894
0.36777856945991516,0.04842330515384674,0.5837981700897217
0.7588232159614563,0.016597094014286995,0.22457966208457947
0.4500693380832672,0.03641623258590698,0.5135144591331482
0.04771547019481659,0.2476821094751358,0.7046024799346924
0.4148326814174652,0.027973664924502373,0.5571936964988708
0.3631068766117096,0.10203932970762253,0.5348537564277649
0.04655968397855759,0.1605900228023529,0.7928502559661865
0.4037231206893921,0.0501934178173542,0.5460835099220276
0.2766816318035126,0.15217170119285583,0.5711466670036316
0.17842839658260345,0.07377775013446808,0.7477937936782837
0.3091168701648712,0.04536881297826767,0.6455143094062805
0.1495523601770401,0.11379318684339523,0.7366544604301453
0.34321263432502747,0.1263788491487503,0.530408501625061
0.3137337863445282,0.13346418738365173,0.5528020262718201
0.5417800545692444,0.01671670190989971,0.44150322675704956
0.377701997756958,0.09237472712993622,0.5299233198165894
0.377701997756958,0.09237472712993622,0.5299233198165894
0.14380812644958496,0.04299996420741081,0.8131918907165527
0.4153435230255127,0.09492479264736176,0.48973166942596436
0.21620848774909973,0.24774163961410522,0.5360498428344727
0.3631068766117096,0.10203932970762253,0.5348537564277649
0.1532544493675232,0.08705112338066101,0.7596943974494934
0.25576743483543396,0.08378119021654129,0.660451352596283
0.4128953516483307,0.029175451025366783,0.5579291582107544
0.5263336896896362,0.03542162477970123,0.43824470043182373
0.06949456036090851,0.24445177614688873,0.6860536932945251
0.2789939343929291,0.07145605236291885,0.6495499610900879
0.028978295624256134,0.5550739765167236,0.4159477651119232
0.7058781385421753,0.015398737043142319,0.2787231206893921
0.39761263132095337,0.11644135415554047,0.48594599962234497
0.9380655288696289,0.005884761922061443,0.056049637496471405
0.3604913055896759,0.017077134922146797,0.6224316358566284
0.13786588609218597,0.03283615782856941,0.8292979001998901
0.11821289360523224,0.056566111743450165,0.8252209424972534
0.4129607379436493,0.12370644509792328,0.463332861661911
0.24115046858787537,0.12048667669296265,0.6383628249168396
0.02163359336555004,0.6150867938995361,0.3632795810699463
0.9588387608528137,0.005230939481407404,0.03593025356531143
0.4149964153766632,0.006739064119756222,0.5782645344734192
0.5156641006469727,0.06334168463945389,0.42099419236183167
0.377701997756958,0.09237472712993622,0.5299233198165894
0.7352702021598816,0.009240529499948025,0.2554892897605896
0.22578619420528412,0.12397828698158264,0.6502354741096497
0.018971068784594536,0.7217473983764648,0.25928154587745667
0.2333844155073166,0.11827260255813599,0.648343026638031
0.18532098829746246,0.012964059598743916,0.8017149567604065
0.09719283878803253,0.040818411856889725,0.8619887232780457
0.4661131501197815,0.029932156205177307,0.5039547085762024
0.25366342067718506,0.18440543115139008,0.5619311332702637
0.3935549557209015,0.0706712082028389,0.5357738137245178
