Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Normalized_Start,Normalized_End,Sent,Turn Start,Turn End,Speaker_original_turn,Speaker_turn,Sentiment,word_count,Turn_Boundary
can,41.397675,41.556976,0.0,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.0,0.0,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
you,41.556976,41.795925,0.1593009999999992,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.0002498085577554987,0.0003747085055143956,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
hear,41.795925,41.955223,0.238948999999998,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.000624517474002842,0.0006245120849871499,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
me,41.955223,42.114525,0.1592979999999997,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.0008743213272952577,0.0008743219370704602,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
yeah,48.108093,48.26768,6.15287,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.010522971246360854,0.01052340820338031,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
i,48.507065,48.586857,0.3989720000000005,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.011148620927811853,0.011023926459010486,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
can,48.586857,48.746445,0.0797920000000047,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.011273747100531598,0.011274184802749235,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
see,48.746445,48.906033,0.1595879999999994,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.011524005718588512,0.011524443146487998,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
you,48.906033,49.06562,0.1595879999999994,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.011774264336645426,0.011774699922074111,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
three,51.619022,52.119022,2.7129890000000003,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,1,0,0.01602864986653242,0.016562900333687833,can you hear me yeah i can see you three,0.0,0.016562900333687833,B_1,B_1,0.0,10,0.0
how,52.136623,52.375523,0.0,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,2,0,0.016840328131595445,0.016965133054364423,how much,0.016840328131595445,0.01746464298784614,A_2,A_2,0.2,2,0.00873232149392307
much,52.375523,52.694057,0.238900000000001,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,2,0,0.01721496020827913,0.01746464298784614,how much,0.016840328131595445,0.01746464298784614,A_2,A_2,0.2,2,0.00873232149392307
k,56.486443,56.80562,4.867421,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,3,0,0.023661517331261595,0.023912201366656324,k yes mh,0.023661517331261595,0.050991617872865436,B_3,B_3,0.0,3,0.03391597300223044
yes,64.00125,64.32034,7.514806999999998,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,3,0,0.0354458946953768,0.03569642938417969,k yes mh,0.023661517331261595,0.050991617872865436,B_3,B_3,0.0,3,0.03391597300223044
mh,73.573975,74.073975,9.572725000000004,0,1,20240521_1823_WBLMayD1M24W,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,B,0,0,3,0,0.05045740514440096,0.050991617872865436,k yes mh,0.023661517331261595,0.050991617872865436,B_3,B_3,0.0,3,0.03391597300223044
okay,84.14486,84.38453,31.769336999999997,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,4,0,0.06703418454973564,0.06716014193061016,okay yeah i can hear you not able to see you though can you can you see me oh okay great hi hi there so i've been assigned the role of the provost and my main goal is to retain,0.06703418454973564,0.14365599207182173,A_4,A_4,0.3433333333333334,40,0.08365875470154166
yeah,108.7204,108.800026,24.575540000000004,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,4,0,0.10557242475828763,0.10544736647456253,okay yeah i can hear you not able to see you though can you can you see me oh okay great hi hi there so i've been assigned the role of the provost and my main goal is to retain,0.06703418454973564,0.14365599207182173,A_4,A_4,0.3433333333333334,40,0.08365875470154166
i,109.03891,109.11854,0.3185100000000034,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,4,0,0.10607189760359748,0.10594684504499143,okay yeah i can hear you not able to see you though can you can you see me oh okay great hi hi there so i've been assigned the role of the provost and my main goal is to retain,0.06703418454973564,0.14365599207182173,A_4,A_4,0.3433333333333334,40,0.08365875470154166
can,109.11854,109.277794,0.0796299999999945,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,4,0,0.10619676973531084,0.10619657962574795,okay yeah i can hear you not able to see you though can you can you see me oh okay great hi hi there so i've been assigned the role of the provost and my main goal is to retain,0.06703418454973564,0.14365599207182173,A_4,A_4,0.3433333333333334,40,0.08365875470154166
hear,109.277794,109.43705,0.1592540000000042,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,4,0,0.10644650458981139,0.10644631734280975,okay yeah i can hear you not able to see you though can you can you see me oh okay great hi hi there so i've been assigned the role of the provost and my main goal is to retain,0.06703418454973564,0.14365599207182173,A_4,A_4,0.3433333333333334,40,0.08365875470154166
you,109.43705,109.51668,0.1592559999999991,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,4,0,0.10669624258062069,0.10657118933764594,okay yeah i can hear you not able to see you though can you can you see me oh okay great hi hi there so i've been assigned the role of the provost and my main goal is to retain,0.06703418454973564,0.14365599207182173,A_4,A_4,0.3433333333333334,40,0.08365875470154166
not,110.488235,110.647766,1.0511850000000038,1,0,20240521_1823_WBLMayD1M24W,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,A,A,0,0,4,0,0.10834466292188794,0.10834490483621788,okay yeah i can hear you not able to see you though can you can you see me oh okay great hi hi there so i've been assigned the role of the provost and my main goal is to retain,0.06703418454973564,0.14365599207182173,A_4,A_4,0.3433333333333334,40,0.08365875470154166
