,,value,value,value,value
Stage,,0,1,2,3
Cluster_Label,variable,,,,
High Conflict,avg_contested,0.2604921486363169,0.3105244879280636,0.3420259655842095,0.34964785494816353
High Conflict,avg_duration,11.370303661962197,14.467681232517407,13.800270887371994,7.536701604060909
High Conflict,avg_sentiment,0.12233781342099347,0.09556284195769814,0.10805515627463218,0.1233472478449549
High Conflict,avg_turns,27.52,22.88,23.44,39.4
High Conflict,avg_wordcount,24.572674418604652,30.755244755244757,26.861774744027304,14.574619289340102
High Conflict,n_contested,688.0,572.0,586.0,985.0
High Conflict,n_sentiment,688.0,572.0,586.0,985.0
High Conflict,n_wordcount,688.0,572.0,586.0,985.0
High Conflict,se_contested,0.016579513887626154,0.019245190349978424,0.019466699059466974,0.015081110930041717
High Conflict,se_sentiment,0.008919561303106763,0.009186004573875608,0.009004100127805942,0.008126975149745485
High Conflict,se_turns,2.976642403783162,2.591215930793881,3.20992211743525,5.186842327788009
High Conflict,se_wordcount,2.028314165982942,2.7641613591874346,2.0833565615257226,0.9058289848816229
High Conflict,std_contested,0.43487657232367904,0.4602780085113217,0.4712388886237059,0.47331628778329654
High Conflict,std_sentiment,0.23395789963546254,0.21969727576345313,0.21796618544942062,0.2550627554315054
High Conflict,std_turns,14.88321201891581,12.956079653969406,16.04961058717625,25.934211638940045
High Conflict,std_wordcount,53.2021818056161,66.10912453833781,50.43272244879348,28.42917968573656
High Conflict,typical_end_time,146.3783667805814,487.6427653671328,794.788866331058,1176.9684437258884
High Conflict,typical_start_time,135.0080631186192,473.1750841346154,780.988595443686,1169.4317421218275
Low Conflict,avg_contested,0.23839819448403332,0.2673104762964368,0.3229668190137985,0.3600906854028111
Low Conflict,avg_duration,11.602301067077619,12.737407976863722,9.521879760479123,7.062151495935041
Low Conflict,avg_sentiment,0.15461847165970824,0.12130593422035064,0.13534184609539762,0.16404355323987133
Low Conflict,avg_turns,24.333333333333332,21.61111111111111,27.833333333333332,34.166666666666664
Low Conflict,avg_wordcount,25.65753424657534,28.20822622107969,19.2874251497006,13.552845528455284
Low Conflict,n_contested,438.0,389.0,501.0,615.0
Low Conflict,n_sentiment,438.0,389.0,501.0,615.0
Low Conflict,n_wordcount,438.0,389.0,501.0,615.0
Low Conflict,se_contested,0.02023911056060468,0.022328205961967735,0.02075766467393372,0.01923029157963302
Low Conflict,se_sentiment,0.011771757599688501,0.01084270847612694,0.010030946154969234,0.010275917601694863
Low Conflict,se_turns,2.945030155088244,3.3246346193551797,5.332873754708632,4.641564137988273
Low Conflict,se_wordcount,2.3377885201896675,2.445044527801324,1.3671489496805191,0.9994358098608246
Low Conflict,std_contested,0.42357320403037574,0.4403810577167688,0.4646194162973104,0.47689572262307867
Low Conflict,std_sentiment,0.2463646348804773,0.21385163838799312,0.224522961548947,0.2548344693569646
Low Conflict,std_turns,12.4947047607706,14.10523010588162,22.625467170997428,19.6924888637028
Low Conflict,std_wordcount,48.92628907169642,48.22381597302558,30.60093497847551,24.785202074822386
Low Conflict,typical_end_time,137.63632398940638,486.97636303084835,806.5560122754491,1106.0110389105691
Low Conflict,typical_start_time,126.03402292232876,474.2389550539846,797.03413251497,1098.948887414634
