File Name,Duplicate Count
1716395041511-75ab05f9-741f-4ded-b10d-95f7184dfb97-cam-video-1716395042915.csv,39429
1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-video-1716394790504.csv,0
1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-video-1716395295879.csv,0
1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-video-1716394928870.csv,42379
1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-video-1716394945698.csv,13131
1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-video-1716394602678.csv,8852
1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-video-1716394797956.csv,0
1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-video-1716396836293.csv,4451
1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-video-1716395147276.csv,0
1716394770059-e7295d29-cdd4-40c7-b89b-8be6188acb73-cam-video-1716394771028.csv,39188
1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-video-1716394929956.csv,0
1716394738796-833debf2-71fb-44fc-9339-0c1748f93ba7-cam-video-1716394739804.csv,0
1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-video-1716396831427.csv,0
1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-video-1716395233843.csv,12213
1716394738796-2165b404-0a01-474a-866f-67d42c5d37ce-cam-video-1716395961868.csv,0
1716394665822-52745460-07f9-4c6e-a2d8-e560c41343d2-cam-video-1716394666782.csv,0
1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-video-1716394482606.csv,44551
1716395041511-331a6400-dda5-4364-8d10-dddae9a34b84-cam-video-1716395042908.csv,39714
1716394409683-187ba890-fae9-407b-9e04-d385663dc7ab-cam-video-1716394410664.csv,20861
1716394665822-dab5468a-d9c0-4cdd-aaeb-7af47adb201e-cam-video-1716394666777.csv,26286
1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-video-1716394837696.csv,18778
1716394431006-0f0c9442-01e7-46e6-8b2d-a63c3e686bd3-cam-video-1716394435412.csv,34902
1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-video-1716394797951.csv,0
1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-video-1716395241665.csv,26343
1716395873575-7db9651b-6ff3-4ef0-a4a5-6ff39541620b-cam-video-1716395873970.csv,0
1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-video-1716394770091.csv,0
1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-video-1716394943895.csv,0
1716394563909-40745c14-1ae9-4576-a1ac-543cc4974762-cam-video-1716394564902.csv,0
1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-video-1716394401471.csv,0
1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9-cam-video-1716394945693.csv,30570
1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-video-1716394941844.csv,312
1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-video-1716394837702.csv,18514
1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-video-1716394931497.csv,0
1716394738796-826052de-69b6-4103-8156-eb08d5ad0276-cam-video-1716395553283.csv,687
1716394729737-299695c8-0fbc-4abd-bb9c-88c7ffcd9cb1-cam-video-1716394730718.csv,32137
